keywords,de,en,ru,kg
_ok_or_correct,Bitte bestätigen oder korrigieren Sie folgende Angaben:,Please confirm or correct these entries:,"Пожалуйста, подтверди или исправь следующие данные:",yyyy
_district,Oblast,Oblast,Область,yyyy
_ort_exam,ORT,ORT,ОРТ,yyyy
_lastname,Nachname ,Last name,Фамилия ,yyyy
_firstname,Vorname,First name,Имя,yyyy
_middlename,Vatersname,Fathers name,Отчество ,yyyy
_phone,Telefon ,Phone,Телефон ,yyyy
_mail,Email,Mail,Электронная почта,yyyy
_dkfai_register,DKFAI Registration,KGFAI Registration,Регистрация КГФАИ,yyyy
_reminder_documents,Beachte bitte: Für das Studium und die Teilnahme am Stipendientest musst du dich zusätzlich mit deinen Unterlagen bei der Kirgisisch-Deutschen Fakultät der KSUCTA einschreiben.,Please note: To enrol at our faculty and participate in the DAAD grant exam you will have to enrol personally with your documents at the Kyrgyz-German Faculty of Applied Informatics at KSUCTA.,"Обрати внимание: Для учебы и для участия в тесте на стипендию, необходимо дополнительно пройти регистрацию с оригиналами документов на Кыргызско-Германском факультете информатики, КГУСТА.",yyyy
_check_input,Bitte überprüfe noch einmal deine Angaben,Please check your data once again,"Пожалуйста, еще раз проверь свои данные",yyyy
_input_ok,Alle Angaben sind richtig,Everything is correct,Все данные правильные,yyyy
_input_change,Angaben korrigieren,Edit data,Изменить данные,yyyy
_fathersname,Vatersname,Fathers name,Отчество,yyyy
_mail,Email,mail,Электронная почта,yyyy
_city,Wohnort,Home city,Местожительство,yyyy
_school,Abitur-Schule,Graduating school,Школа,yyyy
_ort_exam,ORT,ORT,ОРТ,yyyy
_ort_math,ORT Mathe,ORT Math,ОРТ по математике,yyyy
_ort_phys,ORT Physik,ORT Physics,ОРТ по физике,yyyy
_correct,richtig,correct,правильно,yyyy
_total,Gesamt,total,Итого,yyyy
_math,Mathe,Math,Математика,yyyy
_physics,Physik,Physics,Физика,yyyy
_text,Text,Text,Текст,yyyy
_language,Sprache,Language,Язык,yyyy
_cancellation,Exmatrikulieren,Cancel enrolment,Отменить регистрацию,yyyy
_undo_cancellation,Exmatrikulation rückgängig machen,Undo cancellation,Отменить аннулирование регистрации,yyyy
_xplain_marks,"Punkte: 0, 0.5, 1, ... ,","Points: 0, 0.5, 1, ... ,","Пункты: 0, 0.5, 1, ... ,",yyyy
_xplain_language_marks,"Note: 0 ... 5, eine Kommastelle","Mark: 0 ... 5, one decimal","Оценка: 0 ... 5, оценки с запятыми",yyyy
_title_enrol,Bewerber immatrikulieren,Enrol candidate,Зарегистрировать кандидатов,yyyy
_title_edit_candidate,Bewerberdaten editieren,Edit candidate data,Редактирование данных кандидата,yyyy
_title_cancel_candidate,Exmatrikulieren,Cancellation,Отмена регистрации кандидата,yyyy
_title_capture_results,Testergebnisse erfassen,Results list,Результаты тестирования,yyyy
_title_result_list,Ergebnisliste,Results list,Список результатов,yyyy
_title_edit_users,Benutzer bearbeiten,Edit user data,Редактировать пользователей,yyyy
_title_admin,Administration,Administration,Администрация,yyyy
_title_audit,Daten Audit,Data audit,Прослеживание изменения данных,yyyy
_title_profile,Profil bearbeiten,Edit profile,Настройки профиля,yyyy
_correct_data,Angaben berichtigen,Correct entered data,Правильно введенные данные,yyyy
_confirm_data,Angaben bestätigen,Confirm entered data,Подтверждение данных,yyyy
_daad_test_results,Ergebnisse des DAAD Stipendientests,Results of DAAD grant exam,Результаты ДААД тестирования,yyyy
_edit_base_data,Stammdaten berichtigen,Edit base data,Изменение основных данных,yyyy
_submit,Absenden,Submit,Отправить,yyyy
_bishkek,Bishkek City,Bishkek City,Город Бишкек,yyyy
_osh_city,Osh City,Osh City,Город Ош,yyyy
_osh,Osh,Osh,Ош,yyyy
_batken,Batken,Batken,Баткен,yyyy
_chuy,Chuy,Chuy,Чуй,yyyy
_jalalabad,Jalal-Abad,Jalal-Abad,Джалал-Абад,yyyy
_naryn,Naryn,Naryn,Нарын,yyyy
_talas,Talas,Talas,Талас,yyyy
_yssykköl,Yssyk-köl,Yssyk-köl,Ыссык-Куль,yyyy
_foreign,Ausland,Foreign,Заграница,yyyy
_other,Other,Other,Другое,yyyy
_de,Deutsch,German,Немецкий,yyyy
_en,Englisch,English,Английский,yyyy
_ru,Russisch,Russian,Русский,yyyy
_kg,Kirgisisch,Kyrgyz,Кыргызский,yyyy
_none,Keine,None,нет,yyyy
_mail_subject,Deine Registrierung bei der DKFAI,Your registration at KGFAI,Регистрация на КГФАИ,
_mail_greet,"Hallo {{.firstname}} {{.lastname}},","Hello {{.firstname}} {{.lastname}},","Здравствуйте, {{.firstname}} {{.lastname}},",
_mail_body1,die folgenden Daten haben wir für deine Immatrikulation und die Teilnahme am DAAD Stipendientest gespeichert:,the following data for your enrolment and your participation in the DAAD grant exam are stroed on our system:,следующие данные были сохранены для регистрации и участия на тесте для получения гранта ДААД,
_mail_body2,"Wenn die Daten nicht richtig sind, wenn du Fragen hast oder etwas genauer wissen möchtest, schicke uns eine Mail oder rufe uns an unter +996 312 549238.","When anything is wrong with the data, if you have questions or are just curious on some detail, send us a mail or call us at +996 312 549238.","В случае введения неправильных данных, при возникновении каких-либо вопросов или для получения подробной информации напиши нам на почту и свяжись по следующему телефону +996 312 549238",
_mail_bye,"Wir freuen uns auf dich,","Looking forward to seeing you soon,",Мы очень рады тебе!,
_mail_signature,das Team von der DKFAI!,the KGFAI team!,С уважением команда КГФАИ!,

_user_edit_message,"bla bla bla","bla bla bla","Пароль должен иметь более 7 символов, обязательно иметь одну или несколько больших латынских букв, одну или несколько маленьких латынских букв, одну или несколько цифр, одну или несколько символических знаков и обязательно должен совпадать с проверкой.",
_user_fullname,Fullname,Fullname,Полное имя,
_user_login,Login,Login,Логин,
_user_password,Passwort,Password,Пароль,
_user_verify,Überprüfen,Verify,Подтреждение,
_user_role,Rolle,Role,Роль,
_user_change_password,Passwort Ändern,Change Password,Изменить пароль,
_user_change_fullname,Ändern Fullname,Change Fullname,Изменить полное имя,
_cancel,Abbrechen,Cancel,Отменить,
_edit,Berichtigen,Edit,Изменить,
